Date,Open,High,Low,Close,Adj Close,Volume
01-01-2018,922.700012,922.700012,907.5,909.75,904.174133,4321686
02-01-2018,913,919.549988,906.400024,911.150024,905.565552,4342815
03-01-2018,925,926,913.049988,914.799988,909.193176,6175312
04-01-2018,918.150024,921.799988,915.700012,920.299988,914.659424,4118581
05-01-2018,921.799988,926.900024,920.25,923.25,917.59137,3401905
08-01-2018,926.099976,931,923.5,928.549988,922.858887,4035417
09-01-2018,928.150024,943.900024,924,940.950012,935.182922,6534997
10-01-2018,943,947.400024,935.5,942.349976,936.57428,5361502
11-01-2018,941.799988,942.650024,935,937.75,932.002502,3588377
12-01-2018,943,952.799988,938.25,949,943.183533,6890028
15-01-2018,950,958.5,945.200012,949.150024,943.332642,5084113
16-01-2018,947.700012,947.700012,920,922.950012,917.293213,4948895
17-01-2018,926,929,907,924.5,918.83374,6036432
18-01-2018,929,929.599976,915.099976,919.700012,914.063171,4289053
19-01-2018,923,934.400024,922.099976,931.299988,925.592041,4559564
22-01-2018,948,974.299988,940,971.5,965.545654,20892838
23-01-2018,975,990.950012,975,983.25,977.223633,10298500
24-01-2018,981.75,981.75,962.650024,966.349976,960.427185,6532672
25-01-2018,967.900024,972,956.150024,965.900024,959.97998,6249419
29-01-2018,966.200012,977.299988,959.299988,964.5,958.588562,4524605
30-01-2018,965.799988,965.799988,949,950.400024,944.575012,4198139
31-01-2018,950,964.5,941.549988,961.299988,955.408142,5738209
